2026/03/23 08:54:45 [error] 14092#10688: *27 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts/8 HTTP/1.1", upstream: "http://[::1]:8080/depts/8", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/23 08:54:47 [error] 14092#10688: *27 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts/8 HTTP/1.1", upstream: "http://127.0.0.1:8080/depts/8", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/23 08:54:47 [error] 14092#10688: *27 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts/8 HTTP/1.1", upstream: "http://127.0.0.1:8080/depts/8", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/03/30 16:26:50 [error] 8288#10384: *120 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://127.0.0.1:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:26:50 [error] 8288#10384: *121 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://[::1]:8080/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:26:50 [error] 8288#10384: *121 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:26:50 [error] 8288#10384: *121 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:26:52 [error] 8288#10384: *120 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:26:52 [error] 8288#10384: *120 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:00 [error] 8288#10384: *120 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:00 [error] 8288#10384: *120 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:00 [error] 8288#10384: *121 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:00 [error] 8288#10384: *121 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:01 [error] 8288#10384: *120 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:01 [error] 8288#10384: *120 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:03 [error] 8288#10384: *121 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://127.0.0.1:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:05 [error] 8288#10384: *121 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:05 [error] 8288#10384: *121 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:05 [error] 8288#10384: *121 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:05 [error] 8288#10384: *121 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:05 [error] 8288#10384: *121 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/03/30 16:27:05 [error] 8288#10384: *121 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/02 17:11:52 [error] 8288#10384: *267 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://[::1]:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/04/02 17:11:54 [error] 8288#10384: *267 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/04/02 17:11:54 [error] 8288#10384: *267 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/04/02 17:11:54 [error] 8288#10384: *267 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/clazzs?begin=&end=&name=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/clazzs?begin=&end=&name=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/clazz"
2026/04/02 17:11:54 [error] 8288#10384: *267 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/clazzs?begin=&end=&name=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/clazzs?begin=&end=&name=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/clazz"
2026/04/02 17:11:54 [error] 8288#10384: *268 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps/list HTTP/1.1", upstream: "http://localhost/emps/list", host: "localhost:90", referrer: "http://localhost:90/clazz"
2026/04/02 17:11:54 [error] 8288#10384: *268 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps/list HTTP/1.1", upstream: "http://localhost/emps/list", host: "localhost:90", referrer: "http://localhost:90/clazz"
2026/04/02 17:11:55 [error] 8288#10384: *268 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/02 17:11:55 [error] 8288#10384: *268 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/02 17:11:55 [error] 8288#10384: *267 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/02 17:11:55 [error] 8288#10384: *267 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/07 19:06:36 [error] 19372#23384: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://[::1]:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/04/07 19:06:39 [error] 19372#23384: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/04/07 19:06:39 [error] 19372#23384: *1 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/dept"
2026/04/08 12:09:03 [error] 21848#13756: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://[::1]:8080/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 12:09:03 [error] 21848#13756: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://127.0.0.1:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 12:09:03 [error] 21848#13756: *2 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 12:09:03 [error] 21848#13756: *2 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 12:09:05 [error] 21848#13756: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 12:09:05 [error] 21848#13756: *1 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 16:00:04 [error] 21848#13756: *6 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 16:00:04 [error] 21848#13756: *6 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 16:00:04 [error] 21848#13756: *6 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 16:00:04 [error] 21848#13756: *8 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 16:00:04 [error] 21848#13756: *8 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
2026/04/08 16:00:04 [error] 21848#13756: *8 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:90", referrer: "http://localhost:90/emp"
